"Month","Division","Line","Day Type","Reporting Category","Incidents"
"2020-02-01","A DIVISION","7","1","Police & Medical","30"
"2020-02-01","A DIVISION","7","2",,"0"
"2020-02-01","A DIVISION","7","2","Crew Availability","2"
"2020-02-01","A DIVISION","7","2","External Factors","0"
"2020-02-01","A DIVISION","7","2","Infrastructure & Equipment","13"
"2020-02-01","A DIVISION","7","2","Operating Conditions","9"
"2020-02-01","A DIVISION","7","2","Planned ROW Work","4"
"2020-02-01","A DIVISION","7","2","Police & Medical","7"
"2020-02-01","A DIVISION","S 42nd","1",,"0"
"2020-02-01","A DIVISION","S 42nd","1","Crew Availability","0"
"2020-02-01","A DIVISION","S 42nd","1","External Factors","0"
"2020-02-01","A DIVISION","S 42nd","1","Infrastructure & Equipment","2"
"2020-02-01","A DIVISION","S 42nd","1","Operating Conditions","14"
"2020-02-01","A DIVISION","S 42nd","1","Planned ROW Work","0"
"2020-02-01","A DIVISION","S 42nd","1","Police & Medical","2"
"2020-02-01","A DIVISION","S 42nd","2",,"0"
"2020-02-01","A DIVISION","S 42nd","2","Crew Availability","1"
"2020-02-01","A DIVISION","S 42nd","2","External Factors","0"
"2020-02-01","A DIVISION","S 42nd","2","Infrastructure & Equipment","1"
"2020-02-01","A DIVISION","S 42nd","2","Operating Conditions","0"
"2020-02-01","A DIVISION","S 42nd","2","Planned ROW Work","0"
"2020-02-01","A DIVISION","S 42nd","2","Police & Medical","0"
"2020-02-01","B DIVISION","A","1",,"0"
"2020-02-01","B DIVISION","A","1","Crew Availability","71"
"2020-02-01","B DIVISION","A","1","External Factors","37"
"2020-02-01","B DIVISION","A","1","Infrastructure & Equipment","51"
"2020-02-01","B DIVISION","A","1","Operating Conditions","166"
"2020-02-01","B DIVISION","A","1","Planned ROW Work","51"
"2020-02-01","B DIVISION","A","1","Police & Medical","66"
"2020-02-01","B DIVISION","A","2",,"0"
"2020-02-01","B DIVISION","A","2","Crew Availability","14"
"2020-02-01","B DIVISION","A","2","External Factors","19"
"2020-02-01","B DIVISION","A","2","Infrastructure & Equipment","27"
"2020-02-01","B DIVISION","A","2","Operating Conditions","33"
"2020-02-01","B DIVISION","A","2","Planned ROW Work","20"
"2020-02-01","B DIVISION","A","2","Police & Medical","28"
"2020-02-01","B DIVISION","B","1",,"0"
"2020-02-01","B DIVISION","B","1","Crew Availability","25"
"2020-02-01","B DIVISION","B","1","External Factors","0"
"2020-02-01","B DIVISION","B","1","Infrastructure & Equipment","28"
"2020-02-01","B DIVISION","B","1","Operating Conditions","85"
"2020-02-01","B DIVISION","B","1","Planned ROW Work","6"
"2020-02-01","B DIVISION","B","1","Police & Medical","26"
"2020-02-01","B DIVISION","C","1",,"0"
"2020-02-01","B DIVISION","C","1","Crew Availability","45"
"2020-02-01","B DIVISION","C","1","External Factors","0"
"2020-02-01","B DIVISION","C","1","Infrastructure & Equipment","12"
"2020-02-01","B DIVISION","C","1","Operating Conditions","111"
"2020-02-01","B DIVISION","C","1","Planned ROW Work","4"
"2020-02-01","B DIVISION","C","1","Police & Medical","35"
"2020-02-01","B DIVISION","C","2",,"0"
"2020-02-01","B DIVISION","C","2","Crew Availability","11"
"2020-02-01","B DIVISION","C","2","External Factors","0"
"2020-02-01","B DIVISION","C","2","Infrastructure & Equipment","12"
"2020-02-01","B DIVISION","C","2","Operating Conditions","34"
"2020-02-01","B DIVISION","C","2","Planned ROW Work","3"
"2020-02-01","B DIVISION","C","2","Police & Medical","14"
"2020-02-01","B DIVISION","D","1",,"0"
"2020-02-01","B DIVISION","D","1","Crew Availability","43"
"2020-02-01","B DIVISION","D","1","External Factors","1"
"2020-02-01","B DIVISION","D","1","Infrastructure & Equipment","42"
