"month","division","line","day_type","period","num_timepoints_passing_wait _assessment","num_sched_timepoints","wait assessment"
"2015-01-01","B DIVISION","R","1","offpeak","12,539","16,334","76.7662544%"
"2015-01-01","B DIVISION","R","2","offpeak","4,543","5,397","84.1763943%"
"2015-01-01","B DIVISION","R","1","peak","7,915","11,219","70.5499599%"
"2015-01-01","B DIVISION","R","2","peak","2,373","2,878","82.4530924%"
"2015-01-01","B DIVISION","S Fkln","1","offpeak","1,641","1,867","87.8950187%"
"2015-01-01","B DIVISION","S Fkln","2","offpeak","496","509","97.4459725%"
"2015-01-01","B DIVISION","S Fkln","1","peak","1,050","1,122","93.5828877%"
"2015-01-01","B DIVISION","S Fkln","2","peak","262","278","94.2446043%"
"2015-01-01","B DIVISION","S Rock","1","offpeak","1,557","1,703","91.4268937%"
"2015-01-01","B DIVISION","S Rock","2","offpeak","659","687","95.9243086%"
"2015-01-01","B DIVISION","S Rock","1","peak","813","869","93.5558113%"
"2015-01-01","B DIVISION","S Rock","2","peak","344","357","96.3585434%"
"2015-02-01","A DIVISION","1","1","offpeak","17,234","21,433","80.4087155%"
"2015-02-01","A DIVISION","1","2","offpeak","5,705","6,625","86.1132075%"
"2015-02-01","A DIVISION","1","1","peak","9,940","14,323","69.398869%"
"2015-02-01","A DIVISION","1","2","peak","2,891","3,217","89.8663351%"
"2015-02-01","A DIVISION","2","1","offpeak","17,027","22,847","74.526196%"
"2015-02-01","A DIVISION","2","2","offpeak","5,621","7,290","77.1056241%"
"2015-02-01","A DIVISION","2","1","peak","9,561","15,025","63.6339434%"
"2015-02-01","A DIVISION","2","2","peak","2,994","3,722","80.4406233%"
"2015-02-01","A DIVISION","3","1","offpeak","16,003","20,081","79.6922464%"
"2015-02-01","A DIVISION","3","2","offpeak","3,789","4,640","81.6594828%"
"2015-02-01","A DIVISION","3","1","peak","9,004","12,794","70.3767391%"
"2015-02-01","A DIVISION","3","2","peak","2,021","2,343","86.2569356%"
"2015-02-01","A DIVISION","4","1","offpeak","19,873","26,258","75.6836012%"
"2015-02-01","A DIVISION","4","2","offpeak","5,762","8,008","71.953047%"
"2015-02-01","A DIVISION","4","1","peak","12,529","19,971","62.7359672%"
"2015-02-01","A DIVISION","4","2","peak","3,190","4,342","73.4684477%"
"2015-02-01","A DIVISION","5","1","offpeak","14,681","20,539","71.4786504%"
"2015-02-01","A DIVISION","5","2","offpeak","1,766","2,034","86.8239921%"
"2015-02-01","A DIVISION","5","1","peak","9,600","16,844","56.9935882%"
"2015-02-01","A DIVISION","5","2","peak","883","1,112","79.4064748%"
"2015-02-01","A DIVISION","6","1","offpeak","15,710","24,578","63.9189519%"
"2015-02-01","A DIVISION","6","2","offpeak","4,903","6,259","78.3351973%"
"2015-02-01","A DIVISION","6","1","peak","10,009","17,988","55.6426507%"
"2015-02-01","A DIVISION","6","2","peak","2,655","3,303","80.3814714%"
"2015-02-01","A DIVISION","7","1","offpeak","9,047","11,654","77.6299983%"
"2015-02-01","A DIVISION","7","2","offpeak","2,716","3,192","85.0877193%"
"2015-02-01","A DIVISION","7","1","peak","6,587","10,234","64.3638851%"
"2015-02-01","A DIVISION","7","2","peak","1,569","1,853","84.6735024%"
"2015-02-01","A DIVISION","S 42nd","1","offpeak","4,998","5,094","98.1154299%"
"2015-02-01","A DIVISION","S 42nd","2","offpeak","1,678","1,704","98.4741784%"
"2015-02-01","A DIVISION","S 42nd","1","peak","4,411","5,238","84.2115311%"
"2015-02-01","A DIVISION","S 42nd","2","peak","973","992","98.0846774%"
"2015-02-01","B DIVISION","A","1","offpeak","11,785","16,089","73.2488035%"
"2015-02-01","B DIVISION","A","2","offpeak","3,789","5,570","68.0251346%"
"2015-02-01","B DIVISION","A","1","peak","8,098","12,054","67.1810187%"
"2015-02-01","B DIVISION","A","2","peak","2,035","3,047","66.7870036%"
"2015-02-01","B DIVISION","B","1","offpeak","6,380","7,861","81.1601577%"
"2015-02-01","B DIVISION","B","1","peak","5,000","7,001","71.4183688%"
"2015-02-01","B DIVISION","C","1","offpeak","8,087","10,077","80.2520591%"
"2015-02-01","B DIVISION","C","2","offpeak","2,316","2,725","84.9908257%"
"2015-02-01","B DIVISION","C","1","peak","4,590","6,306","72.7878211%"
"2015-02-01","B DIVISION","C","2","peak","1,317","1,613","81.6491011%"
"2015-02-01","B DIVISION","D","1","offpeak","9,790","12,062","81.1639861%"
"2015-02-01","B DIVISION","D","2","offpeak","3,049","3,815","79.921363%"
"2015-02-01","B DIVISION","D","1","peak","5,969","8,016","74.4635729%"
"2015-02-01","B DIVISION","D","2","peak","1,588","2,021","78.5749629%"
